time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-08-22,10130.0,10237.53,9759.0,10107.15,10912.34,109185666.88,10401.755714285715,10934.879047619048,10634.306336025442,28.953687667491053,3,8
2019-08-23,10107.15,10478.0,10035.84,10410.85,9413.53,97228393.72,10410.051428571429,10929.061904761904,10613.024780213495,34.394334989731206,4,8
2019-08-24,10410.85,10429.0,9886.26,10147.96,7987.21,80651686.95,10400.075714285715,10897.02380952381,10568.732896383637,36.88143631593206,5,8
2019-08-25,10147.96,10374.85,9899.95,10138.72,7288.06,73504540.21,10374.824285714287,10857.081428571428,10527.779287204243,32.76618236349779,6,8
2019-08-26,10138.72,10680.0,10138.72,10361.65,14125.38,146856102.1,10295.06,10787.660476190478,10511.957450327649,37.586460988367165,0,8
2019-08-27,10361.65,10379.87,10019.56,10171.85,7514.29,76385410.55,10209.74,10726.05857142857,10479.56626458216,40.999422862549046,1,8
2019-08-28,10171.85,10277.0,9522.93,9714.31,17637.07,174087445.01,10150.355714285713,10618.405238095238,10406.684715574334,45.44926045917845,2,8
2019-08-29,9714.31,9717.03,9321.73,9495.0,14421.7,137035492.16,10062.905714285715,10500.024285714284,10319.85759980535,38.049955020886344,3,8
2019-08-30,9495.0,9699.0,9337.97,9582.42,8734.15,83293314.52,9944.558571428572,10391.753809523809,10249.625447442935,38.68076452886966,4,8
2019-08-31,9582.42,9707.48,9436.2,9600.86,4057.2,38892832.81,9866.401428571427,10311.749523809523,10187.83826197218,40.613693694790236,5,8
2019-09-01,9600.86,9840.0,9539.58,9766.52,4200.85,40619645.87,9813.23,10227.261904761905,10147.712713212924,41.81707062576397,6,9
2019-09-02,9766.52,10486.77,9756.54,10381.26,11794.06,119412211.98,9816.031428571428,10179.260952380953,10169.95531195455,41.9938059515176,0,9
2019-09-03,10381.26,10790.0,10280.0,10628.48,15518.02,164040860.03,9881.264285714284,10168.478095238095,10213.624329863642,47.968550896750195,1,9
2019-09-04,10628.48,10833.14,10380.0,10581.84,12180.83,128758763.93,10005.197142857143,10194.953333333333,10248.692488924247,57.87622281566598,2,9
2019-09-05,10581.84,10666.43,10452.15,10574.73,7432.48,78437107.34,10159.444285714286,10208.035238095237,10279.74368045527,58.19556621235066,3,9
2019-09-06,10574.73,10939.34,10182.0,10308.92,15732.6,166427823.14,10263.23,10205.946666666667,10282.52237755477,48.18935962341238,4,9
2019-09-07,10308.92,10580.0,10304.52,10484.37,4381.36,45787147.47,10389.445714285714,10218.640952380953,10301.745960644792,56.16743237842419,5,9
2019-09-08,10484.37,10595.0,10231.13,10398.97,4915.57,51198309.8,10479.795714285714,10222.616666666667,10311.005392964336,54.64156919817226,6,9
2019-09-09,10398.97,10541.75,10059.99,10310.0,9745.07,100305308.95,10469.615714285714,10193.569047619048,10310.909641253447,49.03259399665108,0,9
2019-09-10,10310.0,10389.26,9916.0,10093.01,8098.58,82161791.32,10393.119999999999,10161.37476190476,10290.157294467404,48.53821337189898,1,9
