time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2020-04-30,206.23,227.5,202.3,215.66,410315.64,87778462.11,force_direct,
2020-05-01,212.09,217.58,206.18,206.23,153088.48,32414798.52,force_direct,
2020-05-02,214.25,215.59,210.57,212.09,86048.74,18340437.08,force_direct,
2020-05-03,210.24,219.48,205.28,214.25,145164.75,30869502.11,force_direct,
2020-05-04,206.86,210.96,195.17,210.24,209514.67,42539000.65,force_direct,
2020-05-05,205.43,212.17,201.33,206.86,126463.18,26032219.81,force_direct,
2020-05-06,199.26,211.21,198.18,205.43,172142.54,35525221.29,force_direct,
2020-05-07,212.47,215.99,196.82,199.26,259914.56,54159264.01,force_direct,
2020-05-08,211.59,217.0,207.2,212.47,156564.17,33260930.28,force_direct,
2020-05-09,210.0,214.79,208.27,211.59,120178.88,25490098.16,force_direct,
2020-05-10,187.73,210.06,180.01,210.0,479238.22,90792821.28,force_direct,
2020-05-11,185.93,193.77,176.43,187.73,266403.27,49364371.98,force_direct,
2020-05-12,190.1,192.89,185.79,185.93,114408.64,21700219.7,force_direct,
2020-05-13,199.92,201.59,188.36,190.1,145067.37,28360378.07,force_direct,
2020-05-14,203.4,206.25,195.7,199.92,169935.22,34230909.61,force_direct,
2020-05-15,194.7,204.3,191.35,203.4,145885.05,28899459.58,force_direct,
2020-05-16,200.53,203.36,193.24,194.7,89046.63,17783837.33,force_direct,
2020-05-17,207.05,210.0,199.1,200.53,114512.31,23528865.82,force_direct,
2020-05-18,214.83,216.99,206.99,207.05,162933.03,34701185.16,force_direct,
2020-05-19,214.71,215.84,209.22,214.83,98910.17,21021430.94,force_direct,
2020-05-20,209.96,215.5,205.1,214.71,104103.82,21942569.23,force_direct,
2020-05-21,198.62,211.52,191.27,209.96,179535.51,36017808.08,force_direct,
2020-05-22,207.32,209.28,196.12,198.62,129598.58,26371858.43,force_direct,
2020-05-23,206.66,211.3,204.56,207.32,67466.86,14020737.35,force_direct,
2020-05-24,199.63,210.67,199.3,206.66,106095.1,21794205.86,force_direct,
2020-05-25,204.06,205.71,198.01,199.63,81997.3,16641127.58,force_direct,
2020-05-26,200.91,205.03,196.65,204.06,100703.87,20259525.37,force_direct,
2020-05-27,208.41,208.48,200.76,200.91,77179.59,15846958.1,force_direct,
2020-05-28,220.44,220.68,204.5,208.41,146497.83,31154028.97,force_direct,
2020-05-29,220.62,224.84,217.52,220.44,135620.53,29969339.28,force_direct,
2020-05-30,243.84,247.36,218.33,220.62,254679.92,59922716.02,force_direct,
2020-05-31,231.54,245.46,229.46,243.84,162582.98,38592334.08,force_direct,
