time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-10-12,180.84,184.87,177.27,179.86,57840.9,10497275.25,182.41571428571427,179.7395238095238,182.35291102540236,53.89644351464437,5,10
2019-10-13,179.86,184.75,178.63,181.18,51204.17,9309857.53,183.98714285714283,178.31476190476192,182.2412052134593,58.05131004366814,6,10
2019-10-14,181.18,187.91,180.52,186.85,60870.08,11254466.61,184.92857142857142,177.65047619047618,182.6801380502727,54.22870756402622,0,10
2019-10-15,186.85,188.58,176.48,180.58,119904.6,21747969.65,184.90857142857143,178.33238095238096,182.48012490262767,53.23783072650198,1,10
2019-10-16,180.58,181.2,171.7,174.5,83244.34,14599426.45,182.22857142857143,178.54666666666668,181.7201130071393,45.47407619593239,2,10
2019-10-17,174.5,179.71,172.79,177.31,67073.58,11823514.9,180.16,179.09238095238095,181.3001022445546,51.69009871373018,3,10
2019-10-18,177.31,177.49,168.34,172.96,80245.1,13867301.65,179.03428571428572,179.02190476190475,180.50580679269225,47.85887039408166,4,10
2019-10-19,172.96,175.5,169.72,172.09,47766.31,8262605.48,177.92428571428576,178.93571428571428,179.70430138386442,46.70454545454546,5,10
2019-10-20,172.09,176.8,169.11,175.49,43323.25,7511966.65,177.1114285714286,179.2266666666667,179.3029393473059,53.94795539033458,6,10
2019-10-21,175.49,178.0,171.45,174.37,69165.38,12032230.38,175.32857142857142,178.90285714285716,178.83313559994343,44.947675416023344,0,10
2019-10-22,174.37,175.4,170.47,171.3,41854.54,7243442.07,174.00285714285715,178.67190476190476,178.11569411423454,42.26600985221675,1,10
2019-10-23,171.3,174.05,153.0,162.49,204251.48,32921923.76,172.28714285714287,177.79904761904763,176.62753277002173,23.089032709462998,2,10
2019-10-24,162.49,164.0,158.9,160.67,56468.22,9111124.0,169.91000000000003,177.11428571428573,175.10776774430536,22.948539638386634,3,10
2019-10-25,160.67,187.74,160.57,181.66,158620.93,27865734.98,171.15285714285716,177.3852380952381,175.73178986389533,50.60686796921255,4,10
2019-10-26,181.66,199.5,173.86,180.03,241944.54,45261171.44,172.28714285714287,177.54238095238097,176.14114321019102,50.124615159067574,5,10
2019-10-27,180.03,189.18,176.84,184.41,85150.97,15619016.67,173.56142857142854,178.22,176.92865338064902,52.26603058790515,6,10
2019-10-28,184.41,190.0,181.0,182.02,83795.56,15400320.97,174.6542857142857,178.30380952380952,177.41354353487293,46.44800705986176,0,10
2019-10-29,182.02,193.41,181.72,191.1,67590.06,12691680.39,177.48285714285717,178.79809523809521,178.71701557917075,57.42937853107343,1,10
2019-10-30,191.1,192.2,180.05,183.38,74614.13,13811059.69,180.46714285714285,178.32761904761907,179.16110933353545,56.12921038100497,2,10
2019-10-31,183.38,185.47,177.81,182.38,63173.81,11498049.94,183.56857142857143,177.87952380952382,179.4676703493892,53.58912643352682,3,10
2019-11-01,182.38,184.99,177.39,183.19,61313.9,11123939.15,183.7871428571429,177.99142857142857,179.82217793516168,57.62408704724996,4,11
2019-11-02,183.19,186.19,181.91,183.25,29643.79,5445150.83,184.24714285714285,178.15285714285716,180.148637179432,58.418829209414604,5,11
2019-11-03,183.25,185.0,179.11,181.73,23415.99,4256390.97,183.8642857142857,178.1790476190476,180.29924316234323,54.84472049689439,6,11
2019-11-04,181.73,189.5,180.45,186.25,52941.34,9840856.56,184.46857142857144,178.15047619047618,180.86598190878672,58.76106194690264,0,11
2019-11-05,186.25,192.47,181.76,188.88,71159.65,13388412.36,184.15142857142857,178.5457142857143,181.6292217269975,63.049287410926354,1,11
2019-11-06,188.88,194.6,187.87,191.13,53163.08,10129038.5,185.25857142857143,179.33761904761906,182.53405775299774,73.55263157894736,2,11
2019-11-07,191.13,192.27,184.14,186.42,44563.95,8348917.96,185.83571428571426,179.77142857142857,182.90414749080747,70.21510441199561,3,11
2019-11-08,186.42,188.09,180.71,183.62,66332.92,12209374.45,185.89714285714282,180.27904761904762,182.97232392025438,52.15384615384616,4,11
2019-11-09,183.62,185.7,182.21,184.77,31447.97,5790919.58,186.1142857142857,180.88285714285715,183.14353116594444,55.264326965792996,5,11
2019-11-10,184.77,192.0,183.41,188.88,44224.52,8330448.04,187.1357142857143,181.52047619047622,183.6898615310926,54.994413407821234,6,11
2019-11-11,188.88,190.0,183.77,184.65,34818.78,6486001.13,186.90714285714287,182.01,183.78130329003616,52.8224940974458,0,11
2019-11-12,184.65,187.27,182.07,186.98,41578.6,7696480.64,186.6357142857143,182.7566666666667,184.08594107193747,44.8293172690763,1,11
2019-11-13,186.98,189.31,185.08,187.72,33802.01,6321554.32,186.14857142857142,183.95809523809524,184.43204192222913,56.60377358490567,2,11
2019-11-14,187.72,188.45,182.75,184.55,81996.73,15149079.38,185.8814285714286,185.0952380952381,184.44327602487397,53.097345132743385,3,11
2019-11-15,184.55,186.59,177.0,179.82,97521.84,17670093.47,185.33857142857144,185.00761904761904,184.002964022505,45.67394094993581,4,11
2019-11-16,179.82,183.17,178.95,182.25,32159.28,5837148.15,184.97857142857143,185.11333333333332,183.83601506798072,48.789932236205225,5,11
2019-11-17,182.25,186.26,180.0,183.88,34966.2,6423592.96,184.2642857142857,185.08809523809524,183.8402041091254,52.59473811247889,6,11
2019-11-18,183.88,183.95,173.56,177.85,57753.51,10351289.46,183.29285714285714,184.8895238095238,183.26970847968488,40.218910107126206,0,11
2019-11-19,177.85,178.14,172.38,175.73,45880.8,8029235.81,181.68571428571428,184.15761904761905,182.5516410054292,34.50388875795426,1,11
2019-11-20,175.73,177.25,173.26,174.35,48839.48,8564563.77,179.77571428571426,183.72761904761904,181.77053233824546,29.812319538017306,2,11
2019-11-21,174.35,175.49,155.0,160.82,142035.81,23227898.49,176.38571428571427,182.70095238095237,179.77524354412685,24.59309249702261,3,11
2019-11-22,160.82,162.65,137.8,149.97,282192.73,42410118.9,172.12142857142857,181.1190476190476,176.93664892087668,21.204860516857764,4,11
2019-11-23,149.97,154.54,146.37,152.0,88211.89,13293072.11,167.79999999999998,179.63095238095238,174.56172997603127,22.37396729050748,5,11
2019-11-24,152.0,153.19,138.53,139.99,86567.96,12585123.75,161.53,177.64333333333335,171.2691842640283,13.628924267222132,6,11
2019-11-25,139.99,151.69,131.8,145.91,223502.72,31855049.0,156.96714285714285,175.72238095238095,168.85402385793037,21.886792452830164,0,11
